Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes,
10,1,Whiteknights Park (W),2014-04-26,,Syrphidae,,,,,
10,2,Whiteknights Park (W),2014-04-26,,Syrphidae,,,,,
10,3,Whiteknights Park (W),2014-04-26,,Syrphidae,,,,,
10,4,Whiteknights Park (W),2014-04-26,,Syrphidae,,,,,
10,5,Whiteknights Park (W),2014-04-26,,Tephritidae,Tephritis neesii,m,,,
10,6,Whiteknights Park (W),2014-04-26,,Heleomyzidae,Suillia sp,,,,
10,7,Whiteknights Park (W),2014-04-26,,Syrphidae,,,,,
10,8,Whiteknights Park (W),2014-04-26,,Syrphidae,,,,,
10,9,Whiteknights Park (W),2014-04-26,,Syrphidae,,,,,
10,10,Whiteknights Park (W),2014-04-26,,Tephritidae,Tephritis neesii,m,,,
10,11,Whiteknights Park (W),2014-04-26,,Anthomyiidae,,m,,,
10,12,Whiteknights Park (W),2014-04-26,,Empididae,Hilara sp,m,,,
10,13,Whiteknights Park (W),2014-04-26,,Empididae,Empis sp,,,,
10,14,Whiteknights Park (W),2014-04-26,,Empididae,Empis sp,,,,
10,15,Whiteknights Park (W),2014-04-26,,Muscidae,Coenosia infantula,f,"Fonseca, 1968",,
10,16,Whiteknights Park (W),2014-04-26,,Muscidae,Coenosia testacea,m,"Fonseca, 1968",As Coenosia tricolor,
10,17,Whiteknights Park (W),2014-04-26,,Dolichopodidae,,,,,
10,18,Whiteknights Park (W),2014-04-26,,Fanniidae,,m,,,
10,19,Whiteknights Park (W),2014-04-26,,Fanniidae,,m,,,
10,20,Whiteknights Park (E),2014-04-26,,Syrphidae,,f,,,
10,21,Whiteknights Park (E),2014-04-26,,Bibionidae,Bibio sp,f,,,
10,22,Whiteknights Park (E),2014-04-26,,Scathophagidae,Scathophaga inquinata,f,"Ball, 2014",,
10,23,Whiteknights Park (E),2014-04-26,,Fanniidae,Fannia lustrator,m,"Rozkosny et al, 1997",,
10,24,Whiteknights Park (W),2014-05-03,,Tachinidae,Macquartia dispar,m,"Belshaw, 1993 +v5c updates",25+26 in cop,
10,25,Whiteknights Park (W),2014-05-03,,Tachinidae,Macquartia dispar,f,"Belshaw, 1993 +v5c updates",25+26 in cop,
10,26,Whiteknights Park (W),2014-05-03,,Tachinidae,Billaea irrorata,m,"Belshaw, 1993 +v5c updates",27+28 in cop,
10,27,Whiteknights Park (W),2014-05-03,,Tachinidae,Billaea irrorata,f,"Belshaw, 1993 +v5c updates",27+28 in cop,Damaged: missing head and fore legs
10,28,Whiteknights Park (W),2014-05-03,,Tachinidae,Pales pavida,,"Belshaw, 1993 +v5c updates",,
10,29,Whiteknights Park (W),2014-05-03,,Muscidae,Eudasyphora cyanella,f,"Fonseca, 1968",As Dasyphora cyanella,
10,30,Whiteknights Park (W),2014-05-03,,Muscidae,Muscina levida,m,"Fonseca, 1968",As Muscina assimilis,
10,31,Whiteknights Park (W),2014-05-03,,Tachinidae,Pales pavida,f,"Belshaw, 1993 +v5c updates",,
10,32,Whiteknights Park (W),2014-05-03,,Sarcophagidae,,m,,,
10,33,Whiteknights Park (W),2014-05-03,,Muscidae,Phaonia subventa,f,"Fonseca, 1968",As Phaonia variegata,
10,34,Whiteknights Park (W),2014-05-03,,Fanniidae,Fannia lustrator,m,"Rozkosny et al, 1997",,
10,35,Whiteknights Park (W),2014-05-03,,Tachinidae,Macquartia grisea,f,"Belshaw, 1993 +v5c updates",,
10,36,Whiteknights Park (W),2014-05-03,,Muscidae,Helina reversio,m,"Fonseca, 1968",As Helina duplicata,
10,37,Whiteknights Park (W),2014-05-03,,Muscidae,Helina impuncta,m,"Fonseca, 1968",,
10,38,Whiteknights Park (W),2014-05-03,,Muscidae,Helina impuncta,m,"Fonseca, 1968",,
10,39,Whiteknights Park (W),2014-05-03,,Muscidae,Helina impuncta,m,"Fonseca, 1968",,
10,40,Whiteknights Park (W),2014-05-03,,Fanniidae,Fannia lustrator,m,"Rozkosny et al, 1997",,
10,41,Whiteknights Park (W),2014-05-03,,Sarcophagidae,,f,,,
