,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
298,1,Kennet Mouth (E),2018-08-25,,Calliphoridae,Lucilia sp,f,,
298,2,Kennet Mouth (E),2018-08-25,,Calliphoridae,Lucilia sp,m,,
298,3,Kennet Mouth (E),2018-08-25,,Calliphoridae,Lucilia sp,m,,
298,4,Kennet Mouth (E),2018-08-25,,Calliphoridae,Lucilia sp,f,,
298,5,Kennet Mouth (E),2018-08-25,,Calliphoridae,Lucilia sp,m,,
298,6,Kennet Mouth (E),2018-08-25,,Tachinidae,Voria ruralis,f,"Belshaw, 1993 +v5c updates",
298,7,Kennet Mouth (E),2018-08-25,,Tachinidae,Voria ruralis,f,"Belshaw, 1993 +v5c updates",
298,8,Kennet Mouth (E),2018-08-25,,Tachinidae,Exorista cf rustica,m,"Belshaw, 1993 +v5c updates",
298,9,Kennet Mouth (E),2018-08-25,,Muscidae,Morellia aenescens,m,,
298,10,Kennet Mouth (E),2018-08-25,,Muscidae,Morellia aenescens,m,,
298,11,Kennet Mouth (E),2018-08-25,,Tephritidae,Terellia tussilaginis,m,"White, 1988",As Cerajocera tussilaginis
298,12,Kennet Mouth (E),2018-08-25,,Tephritidae,Terellia ruficauda,m,"White, 1988",
298,13,Kennet Mouth (E),2018-08-25,,Lauxaniidae,Minettia sp,,,
298,14,Kennet Mouth (E),2018-08-25,,Calliphoridae,Melanomya nana,m,,
298,15,Kennet Mouth (E),2018-08-25,,Calliphoridae,Melanomya nana,m,,
298,16,Kennet Mouth (E),2018-08-25,,Calliphoridae,Melanomya nana,m,,
298,17,Kennet Mouth (E),2018-08-25,,Calliphoridae,Melanomya nana,m,,
298,18,Kennet Mouth (E),2018-08-25,,Anthomyiidae,,f,,
298,19,Kennet Mouth (E),2018-08-25,,Sarcophagidae,Sarcophaga sp,f,,
298,20,Kennet Mouth (E),2018-08-25,,Sarcophagidae,Sarcophaga sp,m,,
298,21,Kennet Mouth (E),2018-08-25,,Sarcophagidae,Sarcophaga sp,m,,
298,22,Kennet Mouth (E),2018-08-25,,Sarcophagidae,Sarcophaga sp,m,,
298,23,Thames Valley Park,2018-08-25,Hymenoptera,Torymidae,Torymus sp,f,,
298,24,Thames Valley Park,2018-08-25,,Scathophagidae,Cordilura sp,f,,
298,25,Thames Valley Park,2018-08-25,,Anthomyiidae,Hylemya sp,m,,
298,26,Thames Valley Park,2018-08-25,,Anthomyiidae,,f,,
298,27,Thames Valley Park,2018-08-25,,Dolichopodidae,,m,,
298,28,Thames Valley Park,2018-08-25,,Dolichopodidae,,m,,
298,29,Thames Valley Park,2018-08-25,,Muscidae,,m,,
298,30,Thames Valley Park,2018-08-25,,Opomyzidae,Opomyza sp,f,,
298,31,Thames Valley Park,2018-08-25,,Opomyzidae,Opomyza sp,m,,
298,32,Thames Valley Park,2018-08-25,,Opomyzidae,Opomyza sp,f,,
298,33,Thames Valley Park,2018-08-25,,Sciomyzidae,Pherbellia sp,m,,
298,34,Thames Valley Park,2018-08-25,,Sciomyzidae,,m,,
298,35,Thames Valley Park,2018-08-25,,Ephydridae,Notiphila riparia,m,"Narchuk, 1989",
298,36,Thames Valley Park,2018-08-25,,Muscidae,Coenosia tigrina,f,,
298,37,Thames Valley Park,2018-08-25,,Anthomyiidae,,f,,
298,38,Thames Valley Park,2018-08-25,,Anthomyiidae,,f,,
298,39,Thames Valley Park,2018-08-25,,Muscidae,,f,,
298,40,Thames Valley Park,2018-08-25,,Ephydridae,Dichaeta caudata,f,"Narchuk, 1989",
298,41,Thames Valley Park,2018-08-25,,Ephydridae,Dichaeta caudata,m,"Narchuk, 1989",
298,42,Thames Valley Park,2018-08-25,,Ephydridae,Dichaeta caudata,f,"Narchuk, 1989",
298,43,Thames Valley Park,2018-08-25,,Ephydridae,Dichaeta caudata,f,"Narchuk, 1989",
298,44,Thames Valley Park,2018-08-25,,Dolichopodidae,,m,,
298,45,Thames Valley Park,2018-08-25,,Dolichopodidae,,m,,
298,46,Thames Valley Park,2018-08-25,,Dolichopodidae,,m,,
298,47,Thames Valley Park,2018-08-25,,Dolichopodidae,,f,,
298,48,Thames Valley Park,2018-08-25,,Dolichopodidae,,f,,
298,49,Thames Valley Park,2018-08-25,,Dolichopodidae,,m,,
298,50,Thames Valley Park,2018-08-25,,Dolichopodidae,Rhaphium sp,m,,
298,51,Thames Valley Park,2018-08-25,,Dolichopodidae,,m,,
298,52,Thames Valley Park,2018-08-25,,Dolichopodidae,,m,,
298,53,Thames Valley Park,2018-08-25,,Dolichopodidae,,f,,
298,54,Thames Valley Park,2018-08-25,,Dolichopodidae,,m,,
298,55,Thames Valley Park,2018-08-25,,Dolichopodidae,,f,,
298,56,Thames Valley Park,2018-08-25,,Sepsidae,,,,
298,57,Thames Valley Park,2018-08-25,,Sepsidae,,,,
298,58,Thames Valley Park,2018-08-25,,Sepsidae,,,,
298,59,Thames Valley Park,2018-08-25,,Sepsidae,,,,
298,60,Thames Valley Park,2018-08-25,,Fannidae,,f,,
298,61,Thames Valley Park,2018-08-25,,Sepsidae,,,,
298,62,Thames Valley Park,2018-08-25,,Calliphoridae,Melanomya nana,m,,
298,63,Thames Valley Park,2018-08-25,,Calliphoridae,Melanomya nana,m,,
298,64,Thames Valley Park,2018-08-25,,Calliphoridae,Melanomya nana,m,,
298,65,Thames Valley Park,2018-08-25,,Calliphoridae,Melanomya nana,m,,
