 ,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
642,1,The Wilderness (E),2020-12-22,,Trichoceridae,,m,,
642,2,The Wilderness (E),2020-12-22,,Trichoceridae,,m,,
642,3,The Wilderness (E),2020-12-22,,Mycetophilidae,,,,
642,4,The Wilderness (E),2020-12-22,,Tephritidae,Tephritis sp,f,,
642,5,The Wilderness (W),2020-12-22,,Sciomyzidae,,f,,
642,6,The Wilderness (W),2020-12-22,,Anthomyiidae,,f,,
642,7,The Wilderness (W),2020-12-22,,Sepsidae,Sepsis sp,f,,
642,8,The Wilderness (W),2020-12-22,,Sepsidae,Sepsis sp,m,,
642,9,Whiteknights Park (W),2020-12-22,,Anthomyiidae,,f,,
642,10,Whiteknights Park (W),2020-12-22,,Sphaeroceridae,Copromyza sp,f,,
642,11,Whiteknights Park (W),2020-12-22,,Sphaeroceridae,Copromyza sp,m,,
642,12,Whiteknights Park (W),2020-12-22,,Sphaeroceridae,Copromyza sp,f,,
642,13,Whiteknights Park (E-FH),2020-12-23,,Dolichopoididae,,f,,
642,14,Whiteknights Park (E-FH),2020-12-23,,Dolichopoididae,,m,,
642,15,Whiteknights Park (E-FH),2020-12-23,,Lonchopteridae,Lonchoptera sp,m,,
642,16,Whiteknights Park (E-FH),2020-12-23,,Tephritidae,,f,,
642,17,Whiteknights Park (E-FH),2020-12-23,,Phoridae,,f,,
642,18,Whiteknights Park (E),2020-12-24,,Anthomyiidae,Hylemya sp,f,,Antennae missing
642,19,Whiteknights Park (E),2020-12-24,,Anthomyiidae,Hylemya sp,f,,
642,20,Whiteknights Park (E),2020-12-24,,Anthomyiidae,Mycophaga testacea,f,,
642,21,Whiteknights Park (E),2020-12-24,,Calliphoridae,Calliphora vomitoria,m,,
642,22,Whiteknights Park (E),2020-12-24,,Muscidae,Hebecnema fumosa,f,"Fonseca, 1968; Gregor et al, 2016",Antennae missing
642,23,Whiteknights Park (W),2020-12-24,,Calliphoridae,Calliphora vicina,m,,
642,24,Whiteknights Park (W),2020-12-24,,Muscidae,Phaonia tuguriorum,f,"Fonseca, 1968",As Phaonia signata; Antennae missing
642,25,Whiteknights Park (W),2020-12-25,,Calliphoridae,Calliphora vicina,f,,
642,26,Whiteknights Park (W),2020-12-25,,Calliphoridae,Calliphora vicina,m,,
642,27,Whiteknights Park (W),2020-12-25,,Calliphoridae,Calliphora vicina,m,,
642,28,Whiteknights Park (E),2020-12-25,,Calliphoridae,Calliphora vicina,f,,
642,29,Whiteknights Park (E),2020-12-25,,Muscidae,Polietes lardarius,f,"Fonseca, 1968; Pont & Falk, 2013",
642,30,Whiteknights Park (E),2020-12-25,,Calliphoridae,Calliphora vicina,f,,
642,31,Whiteknights Park (E),2020-12-25,,Muscidae,Phaonia trimaculata,f,"Fonseca, 1968",
642,32,Whiteknights Park (E),2020-12-25,,Anthomyiidae,,f,,
642,33,Whiteknights Park (E),2020-12-25,,Anthomyiidae,Pegomya sp,m,,
642,34,Whiteknights Park (E),2020-12-25,,Anthomyiidae,Hylemya sp,f,,
642,35,Whiteknights Park (E),2020-12-25,,Muscidae,Hebecnema nigricolor,f,"Fonseca, 1968",
642,36,Thames Valley Park,2020-12-26,,Trichoceridae,,m,,
642,37,Thames Valley Park,2020-12-26,,Ephydridae,,,,
642,38,Thames Valley Park,2020-12-26,,Ephydridae,,,,
642,39,Thames Valley Park,2020-12-26,,Muscidae,Lispocephala sp,f,,
642,40,Thames Valley Park,2020-12-26,,Muscidae,Lispocephala sp,m,,
642,41,Thames Valley Park,2020-12-26,,Tephritidae,,f,,
642,42,Thames Valley Park,2020-12-26,,Opomyzidae,Geomyza sp,f,,
