Location,Region,Latitude,Longitude,Radius
Above Hutton Village,North Yorkshire,54.5157,-1.0676,410
"Balmer Lawn, Brockenhurst",New Forest,50.8317,-1.5648,480
Beck Field,North Yorkshire,54.5276,-1.0753,210
Behind Hangingstone,North Yorkshire,54.5075,-1.0866,510
Below Hangingstone,North Yorkshire,54.5152,-1.0834,505
Bousdale,North Yorkshire,54.5181,-1.092,585
"Butts Lawn, Brockenhurst",New Forest,50.8243,-1.5802,200
Charvil Country Park,Reading Area,51.4728,-0.8753,660
Charvil Meadows,Reading Area,51.4802,-0.8793,300
Chazey Wood,Reading Area,51.4751,-1.0087,375
Chobham Common (N),Reading Area,51.3863,-0.6144,820
Coatham Marsh,North Yorkshire,54.6134,-1.0901,340
Codhill Slack,North Yorkshire,54.5094,-1.0666,770
"Culverley Green, Brockenhurst",New Forest,50.8169,-1.5807,180
Dinton Pastures,Reading Area,51.4432,-0.8813,850
Field West of Chazey Wood,Reading Area,51.4763,-1.0152,100
Field below Chazey Wood,Reading Area,51.4742,-1.0103,350
Fobney Island,Reading Area,51.4347,-0.992,420
"Furzy Hill, Brockenhurst",New Forest,50.8109,-1.5983,330
"Hazel Grove Foot, Saltburn",North Yorkshire,54.587,-0.9767,60
Highcliff,North Yorkshire,54.5156,-1.0593,270
Highwood Nature Reserve,Reading Area,51.446,-0.9209,380
"Hincheslea Bog, Brockenhurst",New Forest,50.807,-1.5998,230
Hutton Avenue,North Yorkshire,54.5276,-1.0791,150
Hutton Village Road,North Yorkshire,54.5217,-1.079,230
"Jubilee River, Dorney",Reading Area,51.507,-0.6634,800
"Jubilee River, Taplow",Reading Area,51.5144,-0.6841,900
Kennet Mouth (E),Reading Area,51.459,-0.9473,120
Kennet-A33 Meadow,Reading Area,51.4384,-0.9764,340
Kings Meadow Tescos,Reading Area,51.4601,-0.9538,280
Kings Road Gardens,Reading Area,51.4548,-0.9617,35
Malvern Court,Reading Area,51.4471,-0.9534,60
Malvern Court bin store,Reading Area,51.4471,-0.953,5
"Mill Field Meadow, Saltburn",North Yorkshire,54.5727,-0.9781,80
"North Weirs, Brockenhurst",New Forest,50.8167,-1.5924,500
"Oscar Wilde Walk, Reading",Reading Area,51.4559,-0.9634,20
Quarry near Chazey Wood,Reading Area,51.4729,-1.0049,35
"Ringley office, Kentish Town",London,51.5447,-0.1413,10
Roseberry Common,North Yorkshire,54.5083,-1.1001,550
Saltburn beach,North Yorkshire,54.5855,-0.9669,280
"Station Road, Reading",Reading Area,51.4576,-0.9722,80
Thames Path near Fry's Island,Reading Area,51.4629,-0.9724,250
Thames Valley Park,Reading Area,51.4641,-0.9316,600
"The Warren, Caversham",Reading Area,51.4711,-0.9974,530
The Wilderness,Reading Area,51.4379,-0.9353,400
The Wilderness (E),Reading Area,51.4388,-0.9333,230
The Wilderness (W),Reading Area,51.4376,-0.9381,170
Thweng Way,North Yorkshire,54.5268,-1.0739,80
"Valley Gardens, Saltburn",North Yorkshire,54.5795,-0.9711,650
"Viaduct (W), Saltburn",North Yorkshire,54.5706,-0.9807,230
View Island,Reading Area,51.4618,-0.9631,120
Whiteknights Park,Reading Area,51.4415,-0.9396,600
Whiteknights Park (E),Reading Area,51.4418,-0.9398,320
Whiteknights Park (E-FH),Reading Area,51.4448,-0.9414,185
Whiteknights Park (NW),Reading Area,51.443,-0.9451,120
Whiteknights Park (W),Reading Area,51.442,-0.9417,410
